capacity_peer_group,group_size,group_median_price,group_mean_price,group_median_residual,group_mean_residual,group_std_residual
78705 | Hotel room | 3-4 guests,2,176.11,176.11,-0.4503796441966088,-0.4503796441966088,0.0
78705 | Private room | 1-2 guests,46,45.72,118.73978260869565,0.0171048164972733,0.06961689598096236,0.43828698288924794
78705 | Private room | 3-4 guests,10,60.81,82.441,-0.3226512912647146,-0.29026786744504945,0.43344716673056616
78705 | Private room | 5-6 guests,5,64.0,60.748000000000005,-0.53261610143959,-0.6208588569386737,0.5209463724359521
78717 | Entire home/apt | 1-2 guests,2,75.4,75.4,-0.1485928005943111,-0.1485928005943111,0.03459922171422649
78717 | Entire home/apt | 3-4 guests,7,221.0,221.59857142857143,0.1794151746535082,0.18780864156596408,0.28869640726960605
78717 | Entire home/apt | 5-6 guests,4,170.66500000000002,175.3725,-0.15428236077289134,-0.2062561276812287,0.3007869004349801
78717 | Entire home/apt | 7+ guests,19,298.07,389.30947368421056,0.0343636804201192,-0.056987956737654555,0.3239075214357739
78717 | Hotel room | 1-2 guests,6,110.0,111.66666666666667,-0.0066930225175152,0.008169818207113719,0.10676596438649259
78717 | Hotel room | 3-4 guests,2,100.0,100.0,-0.2520374300872721,-0.2520374300872721,0.0
78717 | Private room | 1-2 guests,14,67.57499999999999,91.67499999999998,0.0264468674883533,0.17184975517046075,0.4247019483842373
78717 | Private room | 3-4 guests,2,106.25999999999999,106.25999999999999,-0.3065708422647546,-0.3065708422647546,0.2612717640969226
78719 | Entire home/apt | 1-2 guests,9,56.5,75.1588888888889,-0.0947609547805039,-0.10399265159182132,0.29038938395095665
78719 | Entire home/apt | 3-4 guests,2,91.75,91.75,-0.3052721797944855,-0.3052721797944855,0.5401748936543316
78719 | Entire home/apt | 5-6 guests,2,157.5,157.5,0.10471030310079014,0.10471030310079014,0.23976869536865705
78719 | Entire home/apt | 7+ guests,2,326.165,326.165,-0.0014035324968521973,-0.0014035324968521973,0.08642109808938313
78721 | Entire home/apt | 1-2 guests,38,136.915,157.71105263157892,0.07620241525778355,0.08918443068378935,0.3075883320153982
78721 | Entire home/apt | 3-4 guests,75,174.0,192.3692,-0.0266550852086586,-0.026867500827919492,0.21771845105440443
78721 | Entire home/apt | 5-6 guests,59,267.5,285.09576271186444,-0.044782924377178,-0.026637346276696477,0.26469934944127255
78721 | Entire home/apt | 7+ guests,112,347.0,415.1973214285714,-0.0258772059250187,-0.02526819330704746,0.2599449803013711
78721 | Private room | 1-2 guests,19,90.5,97.31263157894738,-0.0059698993186865,-0.019987962773204894,0.3123900996478239
78721 | Private room | 3-4 guests,1,240.0,240.0,-0.2833390951311552,-0.2833390951311552,
78722 | Entire home/apt | 1-2 guests,34,145.0,159.60882352941175,-0.0284442234055668,0.0013916636066504218,0.2670994444464981
78722 | Entire home/apt | 3-4 guests,44,172.91500000000002,200.5936363636364,0.0012081626426580995,0.001045952832436444,0.218288338972777
78722 | Entire home/apt | 5-6 guests,30,272.0,279.2676666666667,-0.0616965155496083,-0.060649317385050354,0.23681024175398552
78722 | Entire home/apt | 7+ guests,33,390.0,460.27787878787876,-0.043387636291265,-0.07905817307774021,0.3126431834068445
78722 | Private room | 1-2 guests,8,79.75,87.90375,-0.0352603744986255,0.017403261299858433,0.2194231968025323
78723 | Entire home/apt | 1-2 guests,46,126.0,138.6595652173913,-0.0219570384794529,-0.0030793767647088774,0.319845103564804
78723 | Entire home/apt | 3-4 guests,74,172.255,233.3491891891892,-0.0066040205927442,0.06556396569162537,0.5152948951709094
78723 | Entire home/apt | 5-6 guests,57,216.82,258.81859649122805,-0.0839049074532454,-0.065488209056538,0.3585670584530208
78723 | Entire home/apt | 7+ guests,83,342.0,400.6030120481928,-0.0060589915881887,0.019166656513811702,0.34567377159492213
78723 | Hotel room | 1-2 guests,2,200.0,200.0,0.04997911904036155,0.04997911904036155,0.10580101563799404
